Datetime,Temperature(2m),Rhumadity(2m),SPressure(kPa),Population,GDP,Generation(MW),Demand(MW)
1/1/2016 0:00,17.51,69.47,101.7,160811932,2.65225E+11,4211,4211
1/1/2016 1:00,16.72,72.76,101.67,160811932,2.65225E+11,4140,4140
1/1/2016 2:00,15.95,76.12,101.64,160811932,2.65225E+11,3941,3941
1/1/2016 3:00,15.36,78.96,101.63,160811932,2.65225E+11,3724,3724
1/1/2016 4:00,14.95,81.18,101.65,160811932,2.65225E+11,3603,3603
1/1/2016 5:00,14.74,82.63,101.71,160811932,2.65225E+11,3590,3590
1/1/2016 6:00,14.8,82.76,101.79,160811932,2.65225E+11,3731,3731
1/1/2016 7:00,16.21,78.83,101.88,160811932,2.65225E+11,3708,3708
1/1/2016 8:00,18.31,70.46,101.97,160811932,2.65225E+11,4025,4025
1/1/2016 9:00,22.26,56.68,102.02,160811932,2.65225E+11,4219,4219
1/1/2016 10:00,25.32,46.73,101.99,160811932,2.65225E+11,4113,4113
1/1/2016 11:00,26.64,43.18,101.89,160811932,2.65225E+11,4112,4112
1/1/2016 12:00,27.37,40.96,101.77,160811932,2.65225E+11,4275,4275
1/1/2016 13:00,27.72,39.52,101.65,160811932,2.65225E+11,4167,4167
1/1/2016 14:00,27.6,39.56,101.58,160811932,2.65225E+11,3918,3918
1/1/2016 15:00,27,40.38,101.57,160811932,2.65225E+11,3904,3904
1/1/2016 16:00,25.05,53.3,101.6,160811932,2.65225E+11,3737,3737
1/1/2016 17:00,22.76,55.89,101.66,160811932,2.65225E+11,4023,4023
1/1/2016 18:00,21.41,59.22,101.74,160811932,2.65225E+11,5606,5606
1/1/2016 19:00,20.12,63.82,101.82,160811932,2.65225E+11,5847,5847
1/1/2016 20:00,19.04,67.77,101.87,160811932,2.65225E+11,5880,5880
1/1/2016 21:00,18.18,70.61,101.9,160811932,2.65225E+11,5520,5520
1/1/2016 22:00,17.49,73.01,101.89,160811932,2.65225E+11,4939,4939
1/1/2016 23:00,16.93,74.78,101.85,160811932,2.65225E+11,4564,4564
1/2/2016 0:00,16.54,75.92,101.8,160811932,2.65225E+11,4535,4535
