model,horizon,seed,lam_thermal,lam_smooth,tag,train_sec,val_mse_scaled,val_mae,test_mae,test_rmse,test_mae_peak,test_mape,test_smape,test_negsens_rate,test_ramp_viol
seasonal_naive,24,1,0.0,0.0,full,0.0,,,1317.8133713802808,1915.3,1297.7805019368036,11.712804515137892,11.31833513325046,,
lstm,24,1,0.0,0.0,full,549.8,0.12053,,716.217935234502,965.8,726.5478686999478,6.271957457980672,6.300836688208807,0.7302935251064698,0.0001160631383472
lstm,24,2,0.0,0.0,full,993.8,0.12667,,743.7482207996932,996.6,786.1056395804318,6.434076742710984,6.493991387695106,0.6738326575370412,0.0001160631383472
lstm,24,3,0.0,0.0,full,725.7,0.11444,,689.1583492806806,938.8,756.4782610114903,6.076980396293091,6.055142550970718,0.5819498635656543,0.0001160631383472
tide,24,1,0.0,0.0,full,147.7,0.11218,,606.6445521050952,858.5,675.7406222797702,5.505190729802732,5.372096102854432,0.5973019151811899,0.0001160631383472
tide,24,2,0.0,0.0,full,97.8,0.13115,,664.4936888401666,919.3,725.7629164671831,6.046289591480454,5.933448790316206,0.6824267462321169,0.000464252553389
tide,24,3,0.0,0.0,full,142.1,0.115,,590.9957973582941,865.2,687.4268810389102,5.450002491697221,5.240941900394993,0.5835819753653125,0.0001160631383472
pinn,24,1,1.0,1.0,full,207.5,0.09664,,556.9751134109143,809.7,630.8082115577124,5.128087630388487,5.01943583867452,0.0039272690179277,0.0001160631383472
pinn,24,2,1.0,1.0,full,332.4,0.10804,,576.4725135512781,800.6,627.7406764123433,5.0875748554611695,5.055017702626423,0.0154795603498839,0.0
pinn,24,3,1.0,1.0,full,194.3,0.09695,,538.873038770982,795.2,659.9663570138405,4.913542871586939,4.772977494898339,0.0129548874097875,0.0
pg_tide,24,1,1.0,1.0,full,200.7,0.11635,,620.2047105539476,879.8,707.6834999020717,5.743184239339664,5.548210016016224,0.005559380817586,0.0002321262766945
pg_tide,24,2,1.0,1.0,full,166.0,0.13122,,636.5287796913083,902.6,706.7637173028378,5.746316786970092,5.607199860536631,0.0101241935072552,0.0003481894150417
pg_tide,24,3,1.0,1.0,full,220.6,0.11128,,594.0328605460589,849.3,704.6992802271936,5.454963649192121,5.3740692344706105,0.0109147476602147,0.0002321262766945
seasonal_naive,48,1,0.0,0.0,full,0.0,,,1321.005936663466,,1301.0312854617669,11.740215360435066,11.34456980315789,,
seasonal_naive,48,1,0.0,0.0,full,0.0,,,1321.005936663466,1917.937643644813,1301.0312854617669,11.740215360435066,11.34456980315789,,
